t (s),V (mV)
0,13.281
1,13.2574
1.999,13.2427
2.999,13.2036
4,13.1734
5,13.1456
5.999,13.1204
6.999,13.0689
7.999,13.0514
8.999,13.0169
9.999,12.99
11,12.9691
12,12.938
13,12.8974
14,12.8687
15,12.8483
16,12.8251
17,12.7856
17.999,12.7573
18.999,12.7302
20,12.6897
21,12.67
22,12.639
23,12.6146
24,12.5886
25,12.5521
26,12.5238
27,12.487
28,12.459
28.999,12.4336
29.999,12.4082
31,12.3803
31.999,12.3513
33,12.3053
33.999,12.2798
35,12.2488
35.999,12.2321
36.999,12.2074
38,12.1667
38.999,12.1558
39.999,12.1094
40.999,12.0984
41.999,12.0676
43,12.0428
44,12.0149
45,11.9763
46,11.9575
47,11.9298
48,11.8832
48.999,11.8477
50,11.8417
51,11.8049
52,11.7767
52.999,11.7448
54,11.7045
55,11.6899
56,11.6579
57,11.6334
58,11.6127
59,11.5827
59.999,11.559
60.999,11.5388
61.999,11.4978
62.999,11.474
63.999,11.4453
64.999,11.4145
65.999,11.3986
66.999,11.3462
67.999,11.3196
68.999,11.2953
70,11.2636
71,11.2411
72,11.2243
73,11.1936
74,11.1645
74.999,11.1392
76,11.1113
77,11.1004
78,11.0685
79,11.0447
80,11.026
80.999,10.9878
82,10.9807
82.999,10.9433
84,10.9137
85,10.8962
86,10.8594
86.999,10.8431
87.999,10.81
89,10.7899
90,10.7703
90.999,10.75
91.999,10.708
92.999,10.6804
93.999,10.6627
94.999,10.6237
95.999,10.6023
96.998,10.5869
97.998,10.5444
98.999,10.5134
99.998,10.4918
100.998,10.4774
101.999,10.4517
102.998,10.4222
103.998,10.4028
104.998,10.3862
105.998,10.3668
106.998,10.3383
107.999,10.3045
108.999,10.3009
109.999,10.2692
110.998,10.2478
111.998,10.2145
112.999,10.1923
113.999,10.1816
114.999,10.1477
115.999,10.1211
116.999,10.1126
117.999,10.0869
118.998,10.0539
119.999,10.0451
120.999,10.0294
122,9.999
123,9.9696
124,9.9629
125,9.9315
125.999,9.9104
126.999,9.8723
127.999,9.8601
128.999,9.8378
129.999,9.8181
130.999,9.8035
132,9.7837
132.999,9.7534
133.999,9.7188
135,9.6938
136,9.6641
136.999,9.6663
137.999,9.6187
138.999,9.6257
139.999,9.6057
140.999,9.5717
142,9.5665
142.999,9.5338
144,9.5206
145,9.4886
146,9.4685
147,9.4554
148,9.4215
148.999,9.4061
149.999,9.3706
150.999,9.3437
151.999,9.3236
152.999,9.3203
153.999,9.2873
155,9.2626
155.999,9.2643
157,9.2113
158,9.2076
158.999,9.1803
159.999,9.1474
161,9.1319
162,9.1061
163,9.0908
164,9.0635
165,9.055
166,9.0391
167,9.0048
168,8.9865
169,8.9776
169.999,8.9576
170.999,8.9301
172,8.91
173,8.8871
173.999,8.8685
174.999,8.8471
176,8.8256
176.999,8.8086
178,8.7842
179,8.7594
180,8.7319
181,8.7062
182,8.6875
182.999,8.6651
183.999,8.6512
185,8.637
186,8.6093
186.999,8.5849
187.999,8.5742
189,8.5612
190,8.5424
190.999,8.5229
192,8.505
192.999,8.4898
193.999,8.4537
195,8.4343
196,8.4242
197,8.403
198,8.3846
198.999,8.3705
199.999,8.3506
200.999,8.3381
201.999,8.3021
202.999,8.2832
204,8.2663
204.999,8.2366
205.999,8.2199
206.999,8.2232
207.999,8.1988
208.999,8.1613
210,8.144
211,8.1279
211.999,8.0948
212.999,8.1114
213.999,8.0801
214.999,8.0639
215.999,8.0387
216.999,8.0245
217.999,8.0003
219,7.9737
219.999,7.9554
220.999,7.9294
221.999,7.9296
222.999,7.9067
223.999,7.8833
224.999,7.8619
225.999,7.8481
226.999,7.8231
227.999,7.812
228.999,7.7973
230,7.7903
231,7.7773
231.999,7.7438
233,7.7315
234,7.7064
234.999,7.6849
235.999,7.6646
237,7.6615
238,7.629
238.999,7.6184
239.999,7.5915
240.999,7.5733
241.999,7.5517
243,7.536
243.999,7.5335
245,7.5099
245.999,7.5032
246.999,7.4871
247.999,7.4528
248.999,7.4388
249.999,7.4153
250.999,7.4074
252,7.3975
253,7.3817
253.999,7.355
254.999,7.333
255.999,7.3216
256.999,7.3067
257.999,7.2972
258.999,7.2866
259.999,7.2543
260.999,7.2418
261.999,7.211
262.999,7.2036
264,7.1791
265,7.1654
265.999,7.1388
266.999,7.1121
267.999,7.1197
268.999,7.0936
269.999,7.0843
270.999,7.0703
271.999,7.0535
273,7.0337
274,7.0205
275,6.9762
275.999,6.9817
276.999,6.9645
277.999,6.9388
278.999,6.9397
279.999,6.9256
281,6.9124
281.999,6.8979
283,6.8808
284,6.8599
284.999,6.8389
285.999,6.8285
287,6.8121
287.999,6.7872
288.999,6.7711
290,6.7632
291,6.7559
292,6.7275
293,6.7218
293.999,6.7019
294.999,6.6774
295.999,6.6709
296.999,6.6569
297.999,6.6381
298.999,6.6368
299.999,6.5945
300.999,6.5749
302,6.5697
303,6.5469
303.999,6.5377
304.999,6.5232
306,6.4977
307,6.486
307.999,6.46
308.999,6.4426
310,6.4249
310.999,6.4182
311.999,6.4197
313,6.4058
314,6.3828
314.999,6.3777
316,6.3591
317,6.3478
317.999,6.3275
318.999,6.3122
319.999,6.308
320.999,6.2828
322,6.2638
322.999,6.2532
323.999,6.245
324.999,6.2106
325.999,6.1938
326.999,6.1917
328,6.1754
329,6.16
330,6.1541
330.999,6.1395
331.999,6.1289
332.999,6.1169
333.999,6.1075
334.999,6.0791
335.999,6.0686
336.999,6.0572
338,6.0502
338.999,6.0235
339.999,6.0107
340.999,6.0045
341.999,5.995
